Career Cluster,Career Pathway,Occupation Title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Less than a High School Diploma,High School Diploma,Post-Secondary Certificate - Award,Some College Courses,Associate's Degree (or other 2-year degree),Bachelor's Degree,Post-Baccalaureate Certificate - Award,Master's Degree,Post-Master's Certificate - Award,First Professional Degree - Award,Doctoral Degree,Post-Doctoral Training
Marketing,Professional Sales,First-Line Supervisors of Retail Sales Workers,1,5.54,7,1.12,2.75,3.74,0.082496454,0.172789598,0.223460993,0.021650118,-0.127650118,14.08,51.67,8.92,6.05,18.86,0.42,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Fish and Game Wardens,1,4.36,3.02,3.9,6.36,2.33,0.110429185,0.133690987,0.133080591,0.0263567,-0.109461135,0,13.77,0.55,1.95,4.39,79.35,0,0,0,0,0,0
Education & Training,Administration and Administrative Support,Fitness and Wellness Coordinators,2.12,3.66,5.4,2.79,2.98,5.62,0.141267169,0.141218432,0.20758086,0.041395658,-0.115241471,0,3.85,0,0,3.85,42.31,0,50,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Flight Attendants,1.08,4.57,3.47,2.02,4.29,4.1,0.103215566,0.146799795,0.174618536,0.040322581,-0.113553507,3.48,70.27,0.84,10.41,2.65,12.35,0,0,0,0,0,0
Architecture & Construction,Construction,"Floor Layers, Except Carpet, Wood, and Hard Tiles",1.83,3.68,1,1.39,7,1.57,0.10996357,0.113400121,0.104074074,0.028457802,-0.094037644,5.71,89.53,4.4,0.35,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Floor Sanders and Finishers,1.34,3.26,1.6,1.36,7,1.45,0.102742036,0.118732042,0.114584635,0.024078701,-0.100762024,46.62,34.6,16.44,2.34,0,0,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Visual Arts,Floral Designers,4.4,3.93,3.79,1.72,5.13,2.46,0.157732151,0.113392441,0.157335511,0.021787214,-0.093574428,0.9,75.78,0.9,11.17,3.34,7.91,0,0,0,0,0,0
Manufacturing,Production,Food Batchmakers,2.03,4.45,2.75,2.1,6.02,1.47,0.110589798,0.128453773,0.131046759,0.019330499,-0.101769394,13.91,37.83,21.51,26.74,0,0,0,0,0,0,0,0
Manufacturing,Production,Food Cooking Machine Operators and Tenders,1.05,4.21,1.63,1.8,7,1.4,0.088800468,0.12829725,0.11050907,0.024148625,-0.10284962,0.07,85.92,13.96,0.05,0,0,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,Food Preparation Workers,1.75,4.26,2.23,1.39,6.47,2.5,0.105048387,0.127478495,0.135650538,0.030677419,-0.102188172,2.73,69.48,1.2,22.44,0,0,0,0,0,0,4.15,0
"Agriculture, Food & Natural Resources",Food Products and Processing Systems,Food Science Technicians,1.37,5.07,1.8,4.55,5.56,1.67,0.114785215,0.13040959,0.108436563,0.027432567,-0.101548452,0.61,16.5,0,12.35,23.04,32.33,0,12.78,0,0,1.19,1.19
"Agriculture, Food & Natural Resources",Food Products and Processing Systems,Food Scientists and Technologists,2.46,3.96,2.54,5.69,5.09,2.14,0.154515539,0.117568556,0.121869287,0.02713894,-0.098912249,0,0,0,0,0,56.52,8.7,8.7,0,0,13.04,13.04
Hospitality & Tourism,Restaurants and Food/Beverage Services,"Food Servers, Nonrestaurant",2.06,3.91,2.79,1.41,5.02,4.13,0.123752588,0.129580745,0.165978261,0.042432712,-0.104477226,27.09,48.08,1.37,8.64,2,6.18,0,0,0,0,0,6.64
Hospitality & Tourism,Restaurants and Food/Beverage Services,Food Service Managers,1.59,5.29,5.95,1.86,3.96,3.51,0.10023917,0.155816787,0.195843863,0.023483755,-0.118722924,15.37,55.19,4.83,18.35,0.71,1.91,3.63,0,0,0,0,0
Manufacturing,Production,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",1.1,4.18,1.82,1.59,6.84,1.27,0.087244048,0.129607143,0.114083333,0.021809524,-0.103404762,22.77,60.77,5.65,10.81,0,0,0,0,0,0,0,0
Education & Training,Teaching/Training,"Foreign Language and Literature Teachers, Postsecondary",3.99,3.7,2.57,4.42,2.12,7,0.188096639,0.11542437,0.175462185,0.06112605,-0.095483193,0,0,0,0,0,8.74,0,17.84,0,0,73.42,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Forensic Science Technicians,1.8,5.04,1.71,6.11,5.03,1.69,0.135537886,0.124784846,0.103400374,0.028260056,-0.098676333,0,29.31,36.29,0,0,15.3,17.06,2.05,0,0,0,0
"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,Forest Fire Inspectors and Prevention Specialists,1.19,4.51,3.38,3.67,6.19,3.33,0.113821284,0.135074091,0.146722048,0.032119443,-0.110237988,0,31.63,8.92,17.52,17.9,24.03,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Natural Resources Systems,Forest and Conservation Technicians,1,4.7,2.46,4.39,6.53,2.82,0.11286758,0.13173516,0.126105023,0.032493151,-0.107205479,0,35.31,4.57,10.42,34.89,13.99,0.83,0,0,0,0,0
"Agriculture, Food & Natural Resources",Natural Resources Systems,Forest and Conservation Workers,1.03,4.31,2.83,3.53,6.96,2.59,0.108814118,0.131303529,0.132028235,0.028663529,-0.108607059,3.43,43.63,1.87,6.5,1.77,22.55,0,20.25,0,0,0,0
"Agriculture, Food & Natural Resources",Natural Resources Systems,Foresters,1.24,4.31,3.78,4.4,5.32,2.41,0.120074557,0.136477167,0.145521901,0.024240447,-0.111164958,0,0,1.13,0.81,13.3,83.96,0,0.81,0,0,0,0
Education & Training,Teaching/Training,"Forestry and Conservation Science Teachers, Postsecondary",3.04,3.51,2.37,5.79,4.02,6.54,0.176960823,0.114744757,0.156264345,0.056442422,-0.099180847,0,0,0,0,0,0,0,15.13,0,0,62.72,22.15
Manufacturing,Production,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",1.02,4.27,1.07,2.56,6.75,1,0.093761248,0.125062987,0.092939412,0.023857229,-0.099634073,17.7,82.3,0,0,0,0,0,0,0,0,0,0
Manufacturing,Production,Foundry Mold and Coremakers,2.19,3.28,1,2.35,6.8,1.13,0.131170149,0.105367164,0.095886567,0.024089552,-0.091032836,35.63,64.37,0,0,0,0,0,0,0,0,0,0
Finance,Securities & Investments,"Fraud Examiners, Investigators and Analysts",1.11,6.09,4.63,4.54,1.85,1.84,0.102113659,0.162657029,0.163918245,0.018644068,-0.115967099,0,0,4.17,0,4.17,75,8.33,8.33,0,0,0,0
"Transportation, Distribution & Logistics",Sales and Service,Freight Forwarders,1,5.75,3.92,2.43,3.34,1.89,0.082214948,0.160834697,0.162007638,0.020376432,-0.114762684,0,25.38,0,0.39,16.15,43.66,0,14.42,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Fuel Cell Engineers,1.62,3.99,2.42,5.33,5.89,1.33,0.13473275,0.122147716,0.111632653,0.021282799,-0.102429543,0,0,0,0,0,57.14,0,42.86,0,0,0,0
Business Management & Administration,Operations Management,Fundraisers,3.26,4.13,5.98,1.99,1,4.18,0.149956183,0.14496592,0.220851996,0.029298929,-0.111226874,0,0,0,0,0,90.48,4.76,4.76,0,0,0,0
Human Services,Personal Care Services,Funeral Attendants,2.02,4.15,3.32,1.01,4.65,4.17,0.116925466,0.135890269,0.177246377,0.040445135,-0.107236025,6.82,47.04,0,12.63,22.48,9.29,0,0,0,1.73,0,0
Human Services,Personal Care Services,Funeral Home Managers,1.86,4.76,6.51,2.04,2.99,4.38,0.115248447,0.154902396,0.212648625,0.027905945,-0.119977817,0,25.54,14.63,3.49,49.85,1.16,5.33,0,0,0,0,0
Manufacturing,Production,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",1,4.53,1.22,2.17,6.89,1.25,0.087209848,0.128429074,0.099695193,0.025322392,-0.100867526,21.43,55.94,15.92,3.9,0.97,1.84,0,0,0,0,0,0
Manufacturing,Production,Furniture Finishers,2.81,2.92,1,1.44,7,1.27,0.141246959,0.096970803,0.101557178,0.024343066,-0.086508516,35.54,61.21,3.25,0,0,0,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",Gambling Cage Workers,1,5.97,4.63,1,2.83,2.85,0.070454048,0.170661926,0.192155361,0.025426696,-0.119349015,0,84.85,0,13.71,1.44,0,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",Gambling Change Persons and Booth Cashiers,1.07,6.48,4.22,1,2.96,2.47,0.064104396,0.171054945,0.180241758,0.024098901,-0.116527473,0,96.45,1.19,2.36,0,0,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",Gambling Dealers,1.06,5.47,5.23,1,3.69,2.17,0.073324382,0.166245972,0.190590763,0.015456498,-0.120778733,15.26,69.02,4.82,6.14,4.76,0,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",Gambling Managers,1,5.44,6.71,1.32,2.94,2.63,0.079341317,0.172290419,0.213013972,0.013582834,-0.126771457,0,56.51,6.74,30.01,0,6.74,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Security & Protective Services,Gambling Surveillance Officers and Gambling Investigators,1,5.64,4.82,2.16,4.22,2.17,0.082363818,0.159535232,0.172098951,0.018045977,-0.117851074,2.24,84.07,5.87,2.72,5.1,0,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",Gambling and Sports Book Writers and Runners,1.02,5.97,4.99,1,2.78,2.92,0.071691649,0.171493576,0.197114561,0.024229122,-0.120615632,1.63,87.07,1.98,6.58,2.75,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Gas Compressor and Gas Pumping Station Operators,1,4.85,1.52,2.33,6.14,1.54,0.087428078,0.134441887,0.110132336,0.02721519,-0.10273878,0,64.6,10.45,11.06,13.89,0,0,0,0,0,0,0
Manufacturing,Production,Gas Plant Operators,1,5.29,2.22,2.63,6.61,1.46,0.08539823,0.137954191,0.116569495,0.022680895,-0.105674128,0,58.44,31.05,0,10.51,0,0,0,0,0,0,0
Manufacturing,Production,Gem and Diamond Workers,2.88,4.12,2.12,3.08,5.47,1.15,0.140196599,0.11487779,0.116009564,0.019638682,-0.092996812,7.95,57.85,15.19,0,0,19.01,0,0,0,0,0,0
Health Science,Therapeutic Services,General Internal Medicine Physicians,1.42,3.66,2.11,6.83,4.38,6.13,0.158842234,0.123375459,0.146534855,0.056653078,-0.105792907,0,0,0,0,0,0,0,0,0,0,46.99,53.01
Business Management & Administration,General Management,General and Operations Managers,1.31,5.32,6.96,2.39,2.22,3.37,0.100004636,0.167097821,0.214580436,0.01945758,-0.124877144,10.35,28.76,5.72,21.59,5.99,27.3,0.14,0.15,0,0,0,0
Health Science,Therapeutic Services,Genetic Counselors,2.34,3.89,2.73,5.86,1.66,5.45,0.171003192,0.128052896,0.16505244,0.053666211,-0.103369813,0,0,0,0,0,0,0,100,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Geneticists,3.04,4.41,1.69,7,3.95,2.96,0.172,0.113388286,0.11564859,0.037149675,-0.093340564,0,0,0,0,0,4,4,32,4,0,20,36
Architecture & Construction,Design/Pre-Construction,Geodetic Surveyors,1.42,5.5,1.64,5.4,5.63,1.58,0.117468115,0.129914974,0.101350968,0.027534247,-0.100415683,0,3.7,0,3.7,3.7,81.48,3.7,3.7,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Geographers,3.7,3.71,2.15,6.73,5.19,2.69,0.180889532,0.104848986,0.117033513,0.031555647,-0.091861812,0,0,0,0,5,45,0,20,0,0,25,5
Education & Training,Teaching/Training,"Geography Teachers, Postsecondary",3.66,3.69,2.53,5.76,3.43,6.66,0.183878741,0.113501749,0.159724058,0.056070735,-0.09695686,0,0,0,0,0,0,0,9.51,9.75,0,80.29,0.45
"Science, Technology, Engineering & Mathematics",Science and Mathematics,"Geoscientists, Except Hydrologists and Geographers",2.7,4.16,1.67,7,5.66,2.23,0.163330487,0.110525192,0.104278395,0.030964987,-0.094487617,0,0,0,0,0,37.5,3.12,43.75,0,0,9.38,6.25
Business Management & Administration,Operations Management,Geothermal Production Managers,1,4.82,4.58,3.35,5.35,2.07,0.100203118,0.146797355,0.157279169,0.018011337,-0.115758148,0,11.15,18.91,47.61,2.72,14.61,4.99,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Geothermal Technicians,1,4.99,1.78,3.44,6.38,1.68,0.097773742,0.133040996,0.109922159,0.027052413,-0.103829787,0,65.75,20.48,12.25,1.52,0,0,0,0,0,0,0
Manufacturing,Production,"Glass Blowers, Molders, Benders, and Finishers",1.53,4.74,1.5,2.46,6.77,1.13,0.098902372,0.125797022,0.10244898,0.022542747,-0.098565913,43.24,34.36,19.9,1.66,0.85,0,0,0,0,0,0,0
Architecture & Construction,Construction,Glaziers,2.2,3.33,1.58,2,6.55,1.63,0.128721805,0.111075766,0.114719491,0.025824176,-0.094840949,35.77,44.16,12,8.08,0,0,0,0,0,0,0,0
Government & Public Administration,Governance,Government Property Inspectors and Investigators,1,6.26,4.2,3.32,3.09,2.41,0.088959566,0.161114398,0.162874753,0.024270217,-0.115098619,0,9.44,16.22,10.32,24.68,39.34,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Food Products and Processing Systems,"Graders and Sorters, Agricultural Products",1.66,4.99,2.14,2.4,5.64,1.53,0.101002179,0.133169935,0.121519608,0.02372549,-0.10130719,63.8,26.69,4.65,0,4.86,0,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Visual Arts,Graphic Designers,7,3.78,3.61,2.83,3.2,2.31,0.209256489,0.095389353,0.15316762,0.021403432,-0.079370875,0,15,0,5,5,65,0,10,0,0,0,0
Manufacturing,Production,"Grinding and Polishing Workers, Hand",1.69,3.32,1,1.39,7,1.09,0.10925113,0.111187863,0.098198838,0.023582957,-0.094125242,26.74,37.33,24.03,11.9,0,0,0,0,0,0,0,0
Manufacturing,Production,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.18,3.9,1,2.15,7,1,0.097313617,0.120117067,0.092809612,0.023616759,-0.098052988,1.42,80.11,14.28,4.2,0,0,0,0,0,0,0,0
Human Services,Personal Care Services,"Hairdressers, Hairstylists, and Cosmetologists",3.23,3.94,3.25,1.53,5.41,3.71,0.14122449,0.120417655,0.162097769,0.034546749,-0.099008068,0,20.93,78.97,0.1,0,0,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Environmental Service Systems,Hazardous Materials Removal Workers,1,4.28,1.18,2.6,7,1.45,0.095882353,0.125191319,0.099583095,0.02737293,-0.100868075,26.03,24.89,19.71,13.66,1.94,13.76,0,0,0,0,0,0
Human Services,Family & Community Services,Health Education Specialists,2.53,3.98,3.2,5.3,1.64,6.16,0.168794388,0.129991232,0.177242438,0.055523893,-0.104717229,0,2.6,0,0,62.17,30.93,0,3.44,0,0,0.86,0
Information Technology,Programming and Software Development,Health Informatics Specialists,1.93,4.74,2.1,6.23,2.97,4.63,0.15290708,0.129247788,0.14130531,0.049150442,-0.102212389,0,0,4.76,0,4.76,19.05,9.52,52.38,4.76,0,4.76,0
Education & Training,Teaching/Training,"Health Specialties Teachers, Postsecondary",2.93,3.71,1.87,5.49,3.48,6.97,0.176134969,0.116,0.157480573,0.062719836,-0.098204499,0,0,2.9,0,4.63,12.49,0,35.94,0,0,24.91,19.14
Human Services,Family & Community Services,Healthcare Social Workers,2.33,3.06,2.53,4.24,1.97,6.92,0.174304038,0.124665083,0.184779097,0.066494062,-0.104109264,0,0,0,0,0,14.81,0,70.37,11.11,3.7,0,0
Health Science,Therapeutic Services,Hearing Aid Specialists,1.79,4.21,1.81,4.37,3.67,4.74,0.144575036,0.127615347,0.146823701,0.052739194,-0.102083536,0,22.13,11.96,0,9.17,0.44,11.92,0.4,0,0,43.99,0
Manufacturing,Production,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",1,4.07,1,2.2,6.82,1.56,0.094912913,0.124066066,0.10018018,0.029591592,-0.100072072,20.06,69.85,9.81,0,0.28,0,0,0,0,0,0,0
Architecture & Construction,Maintenance/Operations,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1,4.48,1.35,2.74,6.92,1.5,0.095302946,0.1274597,0.102607004,0.027031684,-0.101750973,20.23,3.26,68.08,6.93,1.5,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Heavy and Tractor-Trailer Truck Drivers,1,4.37,1.33,1.93,7,1.32,0.086737463,0.128047198,0.103362832,0.025174041,-0.101539823,25.9,54.34,18.51,1.24,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",1.49,3.39,1,1.41,7,1.91,0.108024691,0.114703704,0.108611111,0.032209877,-0.096876543,24.19,58.01,11.57,0,0,0,0,0,0,6.23,0,0
Architecture & Construction,Construction,Helpers--Carpenters,1.35,3.54,1.67,1.26,6.95,2.06,0.101550802,0.121960784,0.123042187,0.02979798,-0.101752822,25.35,53.59,3.1,17.96,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Helpers--Electricians,1,3.98,1,2.14,7,2.1,0.098164925,0.123147503,0.106480836,0.034413473,-0.100696864,10.71,70.79,13.03,2.84,1.33,1.3,0,0,0,0,0,0
Architecture & Construction,Construction,Helpers--Extraction Workers,1,3.69,1.57,2.14,7,1.77,0.099644729,0.124088526,0.113092603,0.02803145,-0.103302271,0,96.59,1.71,0,1.71,0,0,0,0,0,0,0
Architecture & Construction,Maintenance/Operations,"Helpers--Installation, Maintenance, and Repair Workers",1.1,4.03,1.63,1.96,6.99,1.81,0.096078767,0.126261416,0.114794521,0.027990868,-0.102905251,2.29,31.74,23.48,17.34,25.12,0.01,0,0,0,0,0,0
Architecture & Construction,Construction,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1.78,3.47,1.36,1.11,6.52,2.43,0.113329334,0.116970606,0.124679064,0.035206959,-0.097444511,68.24,26.19,3.68,0.49,1.4,0,0,0,0,0,0,0
Architecture & Construction,Construction,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",1,3.7,1.36,1.3,6.84,1.8,0.0905375,0.12525,0.1146375,0.0297,-0.1024,5.6,48.69,26.83,9.18,0,0,0,9.69,0,0,0,0
Manufacturing,Production,Helpers--Production Workers,1.21,4.16,1.7,1.1,6.51,1.68,0.08705379,0.129987775,0.120849633,0.026601467,-0.102530562,32.24,49.3,17.63,0.83,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Helpers--Roofers,1,3.61,1.41,1,6.95,1.96,0.089026993,0.12517263,0.118801004,0.030853735,-0.102893911,32.7,43.37,0,7.91,0,0,0,0,0,0,0,16.01
Architecture & Construction,Maintenance/Operations,Highway Maintenance Workers,1.12,3.55,1.49,1.72,7,1.74,0.099482551,0.122160048,0.11366426,0.02801444,-0.102075812,5.21,88.29,1.43,0,5.07,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Historians,3.61,4.97,2.4,5.19,2.42,3.21,0.167834862,0.121275229,0.138821101,0.037018349,-0.092981651,8.98,9.43,15.24,17.95,0.45,20.43,0,23.88,3.65,0,0,0
Education & Training,Teaching/Training,"History Teachers, Postsecondary",3.89,3.57,2.5,5.41,2.87,6.89,0.18913649,0.112674095,0.165200955,0.058539594,-0.09586152,0,0,0,0,0,0,0,30.36,0,0,69.64,0
Health Science,Diagnostic Services,Histotechnologists,1.21,5.21,1.07,6.62,5.79,2.78,0.130026455,0.125216049,0.100555556,0.03872134,-0.100295414,0,4.76,14.29,4.76,19.05,42.86,4.76,9.52,0,0,0,0
Architecture & Construction,Construction,Hoist and Winch Operators,1.07,3.33,1.45,1.55,6.89,1.45,0.0977446,0.121238882,0.111194409,0.025412961,-0.101975858,26.72,41.21,23.51,8.56,0,0,0,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Home Appliance Repairers,1,5,1.48,2.12,7,1.65,0.083852055,0.132652055,0.108049315,0.027589041,-0.102531507,7.62,68.97,20.34,0,3.08,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Home Health Aides,1.49,3.52,1.76,3.18,4.21,6.33,0.142327965,0.126720351,0.165602733,0.065275744,-0.105183016,0.62,62.61,20.9,7.02,8.84,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Hospitalists,1.55,4.15,3.14,4.68,3.63,6.05,0.14312069,0.134163793,0.170301724,0.053724138,-0.10937931,0,0,0,0,0,4,0,0,0,8,40,48
Hospitality & Tourism,Restaurants and Food/Beverage Services,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.78,3.84,4.19,1,3.35,5.2,0.121131198,0.144282025,0.206451446,0.046033058,-0.113817149,31.86,62,0.22,0.22,0,5.69,0,0,0,0,0,0
Hospitality & Tourism,Lodging,"Hotel, Motel, and Resort Desk Clerks",1.33,5.71,3.81,1,2.62,4.48,0.08939314,0.16121372,0.194659631,0.043551451,-0.114401055,1,75.03,2.42,10.79,6.17,4.6,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Human Factors Engineers and Ergonomists,2.57,4.24,2.65,6.22,4.67,2.2,0.156935698,0.119166297,0.122563193,0.027436807,-0.098851441,0,0,0,0,0,40,10,50,0,0,0,0
Business Management & Administration,Administrative Support,"Human Resources Assistants, Except Payroll and Timekeeping",1,7,3.86,1.36,1.49,3.22,0.065209147,0.178165086,0.186904629,0.034428332,-0.1162744,0,21.12,5.71,11.22,27.35,33.81,0,0.8,0,0,0,0
Business Management & Administration,Human Resources Management,Human Resources Managers,1.71,5.19,7,2.68,1.09,3.88,0.113907193,0.165842227,0.222742459,0.023726218,-0.123313225,0,0,0,4.35,0,73.91,8.7,8.7,4.35,0,0,0
Business Management & Administration,Human Resources Management,Human Resources Specialists,1.44,5.5,5.75,2.49,1.07,3.78,0.105077384,0.167668497,0.211942087,0.028981528,-0.120983525,0,13.52,1.31,4.82,7.16,46.59,1.69,24.91,0,0,0,0
Manufacturing,Production,Hydroelectric Plant Technicians,1,4.68,1.77,3.28,7,1.21,0.096768743,0.129456177,0.103674762,0.022428722,-0.103352693,0,2.75,33.97,22.39,34.02,6.88,0,0,0,0,0,0
Business Management & Administration,Operations Management,Hydroelectric Production Managers,1,5.02,4.57,3.64,5.37,1.83,0.09965469,0.147074195,0.152897807,0.016392907,-0.11530098,0,13.59,28.95,14.08,21.28,14.85,7.24,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Hydrologists,1.86,4.35,2.17,6.53,5.71,2.16,0.145092186,0.120285338,0.111334504,0.028999122,-0.100671642,0,0,0,0,0,39.13,4.35,52.17,0,0,0,4.35
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Industrial Ecologists,2.14,3.98,3.04,7,4.62,1.95,0.156757589,0.121588209,0.12316322,0.024403872,-0.102454905,0,0,0,0,0,21.74,4.35,65.22,0,0,8.7,0
Manufacturing,Manufacturing Production Process Development,Industrial Engineering Technologists and Technicians,1.19,5.22,2.39,5.14,5.38,1.45,0.113490611,0.134761675,0.113013962,0.023336543,-0.104877227,9.68,11.96,1.25,36.92,25.54,14.65,0,0,0,0,0,0
